origin,year,month,day,dep_time,temp,dewp,humid,wind_speed,visib
EWR,2013,1,2,2100,32.0,12.92,44.74,6.90468,10.0
EWR,2013,1,2,2200,32.0,12.92,44.74,12.65858,10.0
EWR,2013,1,2,2300,30.92,12.92,46.74,11.5078,10.0
EWR,2013,1,3,0,30.92,14.0,49.01,6.90468,10.0
EWR,2013,1,3,100,30.02,14.0,50.84,9.20624,10.0
EWR,2013,1,3,200,30.02,14.0,50.84,5.7539,10.0
EWR,2013,1,3,300,28.94,15.08,55.69,8.05546,10.0
EWR,2013,1,3,400,28.94,15.08,55.69,9.20624,10.0
EWR,2013,1,3,500,28.04,15.08,57.79,8.05546,10.0
EWR,2013,1,3,600,28.04,15.08,57.79,10.35702,10.0
EWR,2013,1,3,700,26.96,15.08,60.41,8.05546,10.0
EWR,2013,1,3,800,26.96,15.08,60.41,6.90468,10.0
EWR,2013,1,3,900,26.06,15.08,62.7,5.7539,10.0
EWR,2013,1,3,1000,26.06,15.08,62.7,5.7539,10.0
EWR,2013,1,3,1100,26.06,15.98,65.21,6.90468,10.0
EWR,2013,1,3,1200,26.06,15.98,65.21,5.7539,10.0
EWR,2013,1,3,1300,26.96,17.06,65.84,5.7539,10.0
EWR,2013,1,3,1400,28.04,17.06,62.97,5.7539,10.0
EWR,2013,1,3,1500,30.92,15.08,51.38,9.20624,10.0
EWR,2013,1,3,1600,30.92,14.0,49.01,4.60312,10.0
EWR,2013,1,3,1700,33.08,12.92,42.84,8.05546,10.0
EWR,2013,1,3,1800,33.98,12.92,41.33,9.20624,10.0
EWR,2013,1,3,1900,33.98,12.92,41.33,8.05546,10.0
EWR,2013,1,3,2000,33.08,14.0,44.92,11.5078,10.0
EWR,2013,1,3,2100,32.0,14.0,46.92,10.35702,10.0
EWR,2013,1,3,2200,30.02,15.08,53.29,9.20624,10.0
EWR,2013,1,3,2300,30.92,15.08,51.38,10.35702,10.0
EWR,2013,1,4,0,30.92,15.08,51.38,11.5078,10.0
EWR,2013,1,4,100,30.92,15.08,51.38,11.5078,10.0
EWR,2013,1,4,200,30.92,15.98,53.44,12.65858,10.0
EWR,2013,1,4,300,28.94,17.06,60.69,10.35702,10.0
EWR,2013,1,4,400,30.02,17.96,60.38,10.35702,10.0
EWR,2013,1,4,500,30.02,17.96,60.38,13.80936,10.0
EWR,2013,1,4,600,28.94,17.96,63.1,8.05546,10.0
EWR,2013,1,4,700,30.02,19.04,63.24,10.35702,10.0
EWR,2013,1,4,800,28.94,19.04,66.09,11.5078,10.0
EWR,2013,1,4,900,28.94,19.94,68.68,6.90468,10.0
EWR,2013,1,4,1000,30.92,21.02,66.34,11.5078,10.0
EWR,2013,1,4,1100,33.08,21.02,60.81,16.11092,10.0
EWR,2013,1,4,1200,33.98,21.92,60.93,10.35702,10.0
EWR,2013,1,4,1300,35.06,21.92,58.37,13.80936,10.0
EWR,2013,1,4,1400,35.96,21.02,54.21,14.96014,10.0
EWR,2013,1,4,1500,37.04,19.04,47.75,16.11092,10.0
EWR,2013,1,4,1600,37.04,19.04,47.75,20.71404,10.0
EWR,2013,1,4,1700,39.92,19.94,44.33,17.2617,10.0
EWR,2013,1,4,1800,37.94,19.04,46.09,24.16638,10.0
EWR,2013,1,4,1900,37.94,19.94,47.89,21.86482,10.0
EWR,2013,1,4,2000,37.94,19.94,47.89,18.41248,10.0
EWR,2013,1,4,2100,37.04,19.94,49.62,17.2617,10.0
EWR,2013,1,4,2200,35.96,21.02,54.21,13.80936,10.0
EWR,2013,1,4,2300,35.06,21.02,56.18,9.20624,10.0
EWR,2013,1,5,0,35.06,21.02,56.18,11.5078,10.0
EWR,2013,1,5,100,35.06,19.94,53.66,11.5078,10.0
EWR,2013,1,5,200,35.06,19.94,53.66,13.80936,10.0
EWR,2013,1,5,300,33.98,19.04,53.91,11.5078,10.0
EWR,2013,1,5,400,33.08,19.04,55.89,11.5078,10.0
EWR,2013,1,5,500,33.08,17.96,53.36,10.35702,10.0
EWR,2013,1,5,600,33.08,17.06,51.33,10.35702,10.0
EWR,2013,1,5,700,32.0,17.06,53.6,12.65858,10.0
EWR,2013,1,5,800,32.0,17.06,53.6,18.41248,10.0
EWR,2013,1,5,900,32.0,17.06,53.6,11.5078,10.0
EWR,2013,1,5,1000,32.0,17.06,53.6,12.65858,10.0
EWR,2013,1,5,1100,33.08,17.96,53.36,10.35702,10.0
EWR,2013,1,5,1200,32.0,19.04,58.37,9.20624,10.0
EWR,2013,1,5,1300,35.06,19.94,53.66,9.20624,10.0
EWR,2013,1,5,1400,37.94,21.02,50.14,10.35702,10.0
EWR,2013,1,5,1500,41.0,21.02,44.51,10.35702,10.0
EWR,2013,1,5,1600,42.08,19.94,40.77,14.96014,10.0
EWR,2013,1,5,1700,42.98,19.94,39.38,13.80936,10.0
EWR,2013,1,5,1800,44.06,19.94,37.79,11.5078,10.0
EWR,2013,1,5,1900,44.06,19.94,37.79,9.20624,10.0
EWR,2013,1,5,2000,42.98,19.04,37.9,8.05546,10.0
EWR,2013,1,5,2100,41.0,19.94,42.51,4.60312,10.0
EWR,2013,1,5,2200,39.92,19.94,44.33,4.60312,10.0
EWR,2013,1,5,2300,39.02,21.92,49.93,8.05546,10.0
EWR,2013,1,6,0,35.96,21.92,56.32,6.90468,10.0
EWR,2013,1,6,100,33.98,21.92,60.93,4.60312,10.0
EWR,2013,1,6,200,33.08,23.0,66.11,4.60312,10.0
EWR,2013,1,6,300,33.08,23.0,66.11,4.60312,10.0
EWR,2013,1,6,400,32.0,23.0,69.04,4.60312,10.0
EWR,2013,1,6,500,33.98,23.0,63.77,5.7539,10.0
EWR,2013,1,6,600,33.98,23.0,63.77,9.20624,10.0
EWR,2013,1,6,700,33.98,23.0,63.77,4.60312,10.0
EWR,2013,1,6,800,33.98,24.08,66.72,5.7539,10.0
EWR,2013,1,6,900,33.08,28.04,81.5,8.05546,10.0
EWR,2013,1,6,1000,33.8,30.2,86.49,4.60312,6.0
EWR,2013,1,6,1100,33.98,30.92,88.42,5.7539,6.0
EWR,2013,1,6,1200,33.8,32.0,93.03,9.20624,6.0
EWR,2013,1,6,1300,35.6,32.0,86.59,8.05546,6.0
EWR,2013,1,6,1400,35.6,32.0,86.59,8.05546,7.0
EWR,2013,1,6,1500,37.4,30.2,74.98,11.5078,9.0
EWR,2013,1,6,1600,42.98,30.02,59.93,10.35702,10.0
EWR,2013,1,6,1700,46.04,28.94,51.03,10.35702,10.0
EWR,2013,1,6,1800,46.94,26.96,45.48,13.80936,10.0
EWR,2013,1,6,1900,48.02,24.98,40.22,14.96014,10.0
EWR,2013,1,6,2000,46.94,24.08,40.35,11.5078,10.0
EWR,2013,1,6,2100,44.96,26.06,47.23,6.90468,10.0
EWR,2013,1,6,2200,44.06,26.06,48.87,8.05546,10.0
EWR,2013,1,6,2300,44.06,24.98,46.73,10.35702,10.0
EWR,2013,1,7,0,42.98,24.98,48.7,10.35702,10.0
EWR,2013,1,7,100,42.98,26.06,50.94,10.35702,10.0
EWR,2013,1,7,200,42.08,26.06,52.73,10.35702,10.0
EWR,2013,1,7,300,41.0,26.96,57.06,6.90468,10.0
EWR,2013,1,7,400,39.92,26.96,59.5,9.20624,10.0
EWR,2013,1,7,500,39.92,26.96,59.5,8.05546,10.0
EWR,2013,1,7,600,37.94,26.96,64.29,8.05546,10.0
EWR,2013,1,7,700,35.96,26.96,69.51,6.90468,10.0
EWR,2013,1,7,800,37.04,28.04,69.63,6.90468,10.0
EWR,2013,1,7,900,35.96,28.04,72.66,9.20624,10.0
EWR,2013,1,7,1000,35.06,26.96,72.03,4.60312,10.0
EWR,2013,1,7,1100,35.96,28.04,72.66,6.90468,10.0
EWR,2013,1,7,1200,37.94,28.94,69.73,8.05546,10.0
EWR,2013,1,7,1300,39.92,28.94,64.54,5.7539,10.0
EWR,2013,1,7,1400,44.06,26.96,50.73,13.80936,10.0
EWR,2013,1,7,1500,44.96,24.08,43.49,14.96014,10.0
EWR,2013,1,7,1600,46.04,23.0,39.9,11.5078,10.0
EWR,2013,1,7,1700,46.94,21.92,36.85,14.96014,10.0
EWR,2013,1,7,1800,46.04,19.94,35.05,11.5078,10.0
EWR,2013,1,7,1900,46.94,19.94,33.88,11.5078,10.0
EWR,2013,1,7,2000,44.96,17.96,33.55,8.05546,10.0
EWR,2013,1,7,2100,42.98,17.96,36.18,6.90468,10.0
EWR,2013,1,7,2200,42.08,17.96,37.46,3.45234,10.0
EWR,2013,1,7,2300,41.0,19.04,40.9,4.60312,10.0
EWR,2013,1,8,0,39.92,21.02,46.41,0.0,10.0
EWR,2013,1,8,100,39.92,21.02,46.41,0.0,10.0
EWR,2013,1,8,200,37.04,24.08,59.09,0.0,10.0
EWR,2013,1,8,300,35.96,23.0,58.94,3.45234,10.0
EWR,2013,1,8,400,32.0,23.0,69.04,6.90468,10.0
EWR,2013,1,8,500,32.0,23.0,69.04,3.45234,10.0
EWR,2013,1,8,600,32.0,24.08,72.24,6.90468,10.0
EWR,2013,1,8,700,32.0,24.98,75.0,3.45234,10.0
EWR,2013,1,8,800,30.92,26.06,81.95,4.60312,10.0
EWR,2013,1,8,900,30.02,24.98,81.27,4.60312,10.0
EWR,2013,1,8,1000,28.94,24.08,81.8,4.60312,10.0
EWR,2013,1,8,1100,30.92,24.98,78.35,0.0,9.0
EWR,2013,1,8,1200,30.02,24.98,81.27,5.7539,8.0
EWR,2013,1,8,1300,35.06,26.96,72.03,6.90468,9.0
EWR,2013,1,8,1400,39.02,28.94,66.85,9.20624,9.0
EWR,2013,1,8,1500,44.06,28.94,55.02,13.80936,9.0
EWR,2013,1,8,1600,46.04,30.02,53.33,10.35702,10.0
EWR,2013,1,8,1700,46.94,30.02,51.55,14.96014,10.0
EWR,2013,1,8,1800,48.92,30.02,47.86,11.5078,10.0
EWR,2013,1,8,1900,48.92,30.02,47.86,11.5078,10.0
EWR,2013,1,8,2000,48.92,28.04,44.14,11.5078,10.0
EWR,2013,1,8,2100,46.04,28.04,49.19,10.35702,10.0
EWR,2013,1,8,2200,44.06,28.94,55.02,6.90468,10.0
EWR,2013,1,8,2300,39.92,30.92,69.96,8.05546,10.0
EWR,2013,1,9,0,39.92,30.92,69.96,5.7539,10.0
EWR,2013,1,9,100,39.02,30.02,69.86,5.7539,10.0
EWR,2013,1,9,200,37.94,28.94,69.73,3.45234,10.0
EWR,2013,1,9,300,37.94,28.94,69.73,4.60312,10.0
EWR,2013,1,9,400,37.04,28.94,72.24,4.60312,10.0
EWR,2013,1,9,500,35.96,28.94,75.39,0.0,10.0
EWR,2013,1,9,600,33.98,28.94,81.57,0.0,10.0
EWR,2013,1,9,700,35.06,28.94,78.13,0.0,10.0
EWR,2013,1,9,800,35.96,30.02,78.79,0.0,10.0
EWR,2013,1,9,900,35.96,28.94,75.39,0.0,10.0
EWR,2013,1,9,1000,35.06,28.94,78.13,0.0,9.0
EWR,2013,1,9,1100,35.06,28.94,78.13,0.0,9.0
EWR,2013,1,9,1200,33.98,30.02,85.24,4.60312,6.0
EWR,2013,1,9,1300,37.04,30.92,78.31,0.0,7.0
EWR,2013,1,9,1400,42.08,32.0,67.22,0.0,7.0
EWR,2013,1,9,1500,44.06,33.08,65.07,3.45234,7.0
EWR,2013,1,9,1600,46.94,33.98,60.47,5.7539,7.0
EWR,2013,1,9,1700,46.04,33.98,62.56,9.20624,9.0
EWR,2013,1,9,1800,46.94,33.98,60.47,8.05546,9.0
EWR,2013,1,9,1900,46.94,35.06,63.13,8.05546,8.0
EWR,2013,1,9,2000,48.92,37.04,63.39,13.80936,9.0
EWR,2013,1,9,2100,50.0,37.04,60.89,11.5078,10.0
EWR,2013,1,9,2200,48.92,37.04,63.39,12.65858,10.0
EWR,2013,1,9,2300,48.02,37.04,65.56,10.35702,10.0
EWR,2013,1,10,0,46.94,37.04,68.28,11.5078,10.0
EWR,2013,1,10,100,44.96,37.04,73.59,11.5078,10.0
EWR,2013,1,10,200,44.06,35.96,72.98,12.65858,10.0
EWR,2013,1,10,300,44.06,35.06,70.42,12.65858,10.0
EWR,2013,1,10,400,42.98,33.08,67.81,8.05546,10.0
EWR,2013,1,10,500,41.0,32.0,70.08,8.05546,10.0
EWR,2013,1,10,600,39.02,30.02,69.86,9.20624,10.0
EWR,2013,1,10,700,39.02,28.94,66.85,6.90468,10.0
EWR,2013,1,10,800,39.92,26.96,59.5,5.7539,10.0
EWR,2013,1,10,900,41.0,26.06,54.97,6.90468,10.0
EWR,2013,1,10,1000,41.0,26.06,54.97,12.65858,10.0
EWR,2013,1,10,1100,39.92,24.98,54.81,6.90468,10.0
EWR,2013,1,10,1200,41.0,24.98,52.56,6.90468,10.0
EWR,2013,1,10,1300,42.98,24.98,48.7,8.05546,10.0
EWR,2013,1,10,1400,44.96,23.0,41.56,17.2617,10.0
EWR,2013,1,10,1500,44.96,21.92,39.72,11.5078,10.0
EWR,2013,1,10,1600,46.94,21.92,36.85,13.80936,10.0
EWR,2013,1,10,1700,48.92,21.92,34.21,14.96014,10.0
EWR,2013,1,10,1800,50.0,21.92,32.86,12.65858,10.0
EWR,2013,1,10,1900,50.0,21.92,32.86,11.5078,10.0
EWR,2013,1,10,2000,48.92,21.02,32.93,10.35702,10.0
EWR,2013,1,10,2100,46.94,21.92,36.85,8.05546,10.0
EWR,2013,1,10,2200,46.04,21.92,38.12,8.05546,10.0
EWR,2013,1,10,2300,44.96,23.0,41.56,6.90468,10.0
EWR,2013,1,11,0,44.06,23.0,43.02,4.60312,10.0
EWR,2013,1,11,100,44.06,23.0,43.02,6.90468,10.0
EWR,2013,1,11,200,41.0,24.98,52.56,8.05546,10.0
EWR,2013,1,11,300,39.02,24.98,56.77,8.05546,10.0
EWR,2013,1,11,400,39.92,24.08,52.79,0.0,10.0
EWR,2013,1,11,500,37.94,24.98,59.22,4.60312,10.0
EWR,2013,1,11,600,37.04,24.08,59.09,8.05546,10.0
EWR,2013,1,11,700,35.06,24.08,63.91,5.7539,10.0
EWR,2013,1,11,800,35.96,24.08,61.67,5.7539,10.0
EWR,2013,1,11,900,35.96,24.08,61.67,6.90468,10.0
EWR,2013,1,11,1000,37.04,24.98,61.35,0.0,10.0
EWR,2013,1,11,1100,37.94,24.98,59.22,0.0,10.0
EWR,2013,1,11,1200,39.02,26.06,59.37,0.0,10.0
EWR,2013,1,11,1300,41.0,28.94,61.89,5.7539,10.0
EWR,2013,1,11,1400,42.08,30.92,64.35,5.7539,10.0
EWR,2013,1,11,1500,42.98,32.0,64.93,5.7539,10.0
EWR,2013,1,11,1600,44.06,33.08,65.07,5.7539,10.0
EWR,2013,1,11,1700,44.96,35.96,70.52,4.60312,10.0
EWR,2013,1,11,1800,44.96,37.04,73.59,5.7539,10.0
EWR,2013,1,11,1900,44.96,37.94,76.25,5.7539,10.0
EWR,2013,1,11,2000,44.96,39.92,82.38,4.60312,10.0
EWR,2013,1,11,2100,46.4,39.2,75.84,4.60312,10.0
EWR,2013,1,11,2200,46.4,42.8,87.19,5.7539,3.0
EWR,2013,1,11,2300,46.4,44.6,93.4,5.7539,3.0
EWR,2013,1,12,0,46.4,44.6,93.4,0.0,3.0
EWR,2013,1,12,100,46.4,44.6,93.4,0.0,2.5
EWR,2013,1,12,200,42.98,42.98,100.0,5.7539,1.0
EWR,2013,1,12,300,44.6,44.6,100.0,3.45234,1.0
EWR,2013,1,12,400,42.8,42.8,100.0,8.05546,2.0
EWR,2013,1,12,500,42.8,42.8,100.0,5.7539,1.0
EWR,2013,1,12,600,44.06,42.98,95.95,9.20624,1.0
EWR,2013,1,12,700,44.06,44.06,100.0,6.90468,1.5
EWR,2013,1,12,800,44.6,44.6,100.0,9.20624,4.0
EWR,2013,1,12,900,44.6,44.6,100.0,8.05546,6.0
EWR,2013,1,12,1000,44.6,44.6,100.0,8.05546,6.0
EWR,2013,1,12,1100,44.06,44.06,100.0,8.05546,6.0
EWR,2013,1,12,1200,44.96,44.06,96.63,10.35702,6.0
EWR,2013,1,12,1300,44.96,44.06,96.63,8.05546,7.0
EWR,2013,1,12,1400,46.04,44.06,92.75,6.90468,6.0
EWR,2013,1,12,1500,46.94,44.96,92.78,4.60312,6.0
EWR,2013,1,12,1600,48.02,44.96,89.08,5.7539,6.0
EWR,2013,1,12,1700,46.94,44.96,92.78,4.60312,6.0
EWR,2013,1,12,1800,48.02,44.96,89.08,3.45234,6.0
EWR,2013,1,12,1900,48.02,44.96,89.08,5.7539,5.0
EWR,2013,1,12,2000,48.2,44.6,87.28,3.45234,2.5
EWR,2013,1,12,2100,46.94,44.96,92.78,4.60312,2.5
EWR,2013,1,12,2200,46.94,44.96,92.78,6.90468,2.5
EWR,2013,1,12,2300,46.94,44.96,92.78,0.0,3.0
EWR,2013,1,13,0,46.04,44.06,92.75,0.0,3.0
EWR,2013,1,13,100,46.04,44.06,92.75,0.0,3.0
EWR,2013,1,13,200,46.04,44.06,92.75,0.0,3.0
EWR,2013,1,13,300,46.04,44.06,92.75,0.0,3.0
EWR,2013,1,13,400,46.4,44.6,93.4,0.0,2.0
EWR,2013,1,13,500,46.4,44.6,93.4,0.0,0.25
EWR,2013,1,13,600,44.96,44.96,100.0,0.0,0.25
EWR,2013,1,13,700,44.6,44.6,100.0,3.45234,0.25
EWR,2013,1,13,800,44.6,44.6,100.0,4.60312,0.25
EWR,2013,1,13,900,44.6,44.6,100.0,5.7539,0.25
EWR,2013,1,13,1000,44.6,44.6,100.0,3.45234,0.25
EWR,2013,1,13,1100,44.6,44.6,100.0,3.45234,0.5
EWR,2013,1,13,1200,44.6,44.6,100.0,5.7539,0.25
EWR,2013,1,13,1300,44.06,44.06,100.0,0.0,0.12
EWR,2013,1,13,1400,44.06,44.06,100.0,0.0,0.12
EWR,2013,1,13,1500,44.06,44.06,100.0,4.60312,0.5
EWR,2013,1,13,1600,46.4,44.6,93.4,0.0,2.0
EWR,2013,1,13,1700,46.4,44.6,93.4,3.45234,3.0
EWR,2013,1,13,1800,48.02,44.96,89.08,3.45234,3.0
EWR,2013,1,13,1900,48.2,44.6,87.28,4.60312,3.0
EWR,2013,1,13,2000,46.4,44.6,93.4,5.7539,3.0
EWR,2013,1,13,2100,46.94,44.06,89.65,0.0,5.0
EWR,2013,1,13,2200,48.02,44.96,89.08,0.0,7.0
EWR,2013,1,13,2300,48.92,44.96,86.13,0.0,10.0
EWR,2013,1,14,0,48.2,46.4,93.45,0.0,2.0
EWR,2013,1,14,100,48.2,46.4,93.45,0.0,0.5
EWR,2013,1,14,200,48.02,48.02,100.0,0.0,0.5
EWR,2013,1,14,300,48.02,48.02,100.0,0.0,0.5
EWR,2013,1,14,400,48.02,48.02,100.0,0.0,0.5
EWR,2013,1,14,500,48.2,48.2,100.0,0.0,0.5
EWR,2013,1,14,600,48.92,48.92,100.0,0.0,0.5
EWR,2013,1,14,700,48.92,48.92,100.0,0.0,0.5
EWR,2013,1,14,800,48.92,48.92,100.0,0.0,0.5
EWR,2013,1,14,900,48.2,48.2,100.0,0.0,0.5
EWR,2013,1,14,1000,48.92,48.92,100.0,3.45234,0.5
EWR,2013,1,14,1100,51.08,51.08,100.0,3.45234,0.5
EWR,2013,1,14,1200,51.8,51.8,100.0,6.90468,0.5
EWR,2013,1,14,1300,51.98,51.08,96.73,4.60312,2.5
EWR,2013,1,14,1400,51.8,51.8,100.0,5.7539,3.0
EWR,2013,1,14,1500,55.94,53.06,90.03,5.7539,8.0
EWR,2013,1,14,1600,57.92,50.0,74.86,11.5078,9.0
EWR,2013,1,14,1700,55.94,44.96,66.52,11.5078,10.0
EWR,2013,1,14,1800,57.02,44.06,61.81,10.35702,10.0
EWR,2013,1,14,1900,55.94,37.94,50.72,12.65858,10.0
EWR,2013,1,14,2000,55.04,39.02,54.67,13.80936,10.0
EWR,2013,1,14,2100,53.06,30.92,42.58,14.96014,10.0
EWR,2013,1,14,2200,51.08,30.92,45.81,10.35702,10.0
EWR,2013,1,14,2300,51.08,30.02,44.16,11.5078,10.0
EWR,2013,1,15,0,48.92,28.04,44.14,11.5078,10.0
EWR,2013,1,15,100,48.02,26.96,43.67,12.65858,10.0
EWR,2013,1,15,200,44.06,30.92,59.64,17.2617,10.0
EWR,2013,1,15,300,41.0,35.06,79.21,11.5078,10.0
EWR,2013,1,15,400,41.0,35.96,82.09,8.05546,10.0
EWR,2013,1,15,500,39.92,35.96,85.61,4.60312,10.0
EWR,2013,1,15,600,37.94,35.06,89.25,9.20624,10.0
EWR,2013,1,15,700,37.4,35.6,93.14,12.65858,9.0
EWR,2013,1,15,800,37.4,35.6,93.14,10.35702,10.0
EWR,2013,1,15,900,35.96,32.0,85.37,8.05546,10.0
EWR,2013,1,15,1000,35.96,30.92,81.72,10.35702,10.0
EWR,2013,1,15,1100,37.04,30.02,75.5,8.05546,10.0
EWR,2013,1,15,1200,37.04,28.04,69.63,9.20624,10.0
EWR,2013,1,15,1300,37.04,28.04,69.63,12.65858,10.0
EWR,2013,1,15,1400,37.04,26.96,66.6,13.80936,10.0
EWR,2013,1,15,1500,37.04,26.06,64.17,10.35702,10.0
EWR,2013,1,15,1600,39.02,24.98,56.77,11.5078,10.0
EWR,2013,1,15,1700,39.02,26.06,59.37,8.05546,10.0
EWR,2013,1,15,1800,39.02,24.98,56.77,8.05546,10.0
EWR,2013,1,15,1900,39.02,26.06,59.37,9.20624,10.0
EWR,2013,1,15,2000,39.02,26.06,59.37,9.20624,10.0
EWR,2013,1,15,2100,39.02,24.98,56.77,8.05546,10.0
EWR,2013,1,15,2200,39.02,26.06,59.37,8.05546,10.0
EWR,2013,1,15,2300,39.02,26.06,59.37,5.7539,10.0
EWR,2013,1,16,0,37.94,26.06,61.94,4.60312,10.0
EWR,2013,1,16,100,37.94,24.98,59.22,6.90468,10.0
EWR,2013,1,16,200,37.94,26.96,64.29,5.7539,10.0
EWR,2013,1,16,300,37.04,28.94,72.24,8.05546,9.0
EWR,2013,1,16,400,35.96,30.02,78.79,9.20624,8.0
EWR,2013,1,16,500,33.98,30.92,88.42,10.35702,6.0
EWR,2013,1,16,600,33.08,30.92,91.66,12.65858,6.0
EWR,2013,1,16,700,33.08,30.92,91.66,10.35702,5.0
EWR,2013,1,16,800,33.08,32.0,95.75,11.5078,4.0
EWR,2013,1,16,900,32.0,32.0,100.0,8.05546,3.0
EWR,2013,1,16,1000,32.0,32.0,100.0,5.7539,4.0
EWR,2013,1,16,1100,33.8,32.0,93.03,5.7539,4.0
EWR,2013,1,16,1200,33.8,32.0,93.03,6.90468,2.0
EWR,2013,1,16,1300,33.8,32.0,93.03,8.05546,2.0
EWR,2013,1,16,1400,33.98,33.08,96.46,6.90468,3.0
EWR,2013,1,16,1500,33.98,32.0,92.36,5.7539,3.0
EWR,2013,1,16,1600,33.98,33.08,96.46,5.7539,3.0
EWR,2013,1,16,1700,33.98,33.08,96.46,5.7539,3.0
EWR,2013,1,16,1800,35.06,33.08,92.4,5.7539,3.0
EWR,2013,1,16,1900,35.6,33.8,93.08,11.5078,3.0
EWR,2013,1,16,2000,35.6,33.8,93.08,5.7539,3.0
EWR,2013,1,16,2100,35.06,33.98,95.79,5.7539,6.0
EWR,2013,1,16,2200,35.6,33.8,93.08,6.90468,6.0
EWR,2013,1,16,2300,35.96,33.98,92.43,10.35702,7.0
EWR,2013,1,17,0,35.6,33.8,93.08,10.35702,7.0
EWR,2013,1,17,100,37.4,33.8,86.69,11.5078,9.0
EWR,2013,1,17,200,37.4,33.8,86.69,10.35702,9.0
EWR,2013,1,17,300,35.96,33.98,92.43,9.20624,10.0
EWR,2013,1,17,400,37.04,33.98,88.57,6.90468,10.0
EWR,2013,1,17,500,37.94,33.08,82.46,9.20624,10.0
EWR,2013,1,17,600,39.02,32.0,75.69,10.35702,10.0
EWR,2013,1,17,700,37.94,33.08,82.46,10.35702,10.0
EWR,2013,1,17,800,37.94,33.08,82.46,9.20624,10.0
EWR,2013,1,17,900,39.02,30.92,72.46,6.90468,10.0
EWR,2013,1,17,1000,39.02,30.02,69.86,9.20624,10.0
EWR,2013,1,17,1100,37.94,30.02,72.87,8.05546,10.0
EWR,2013,1,17,1200,39.02,28.04,64.43,9.20624,10.0
EWR,2013,1,17,1300,39.02,28.04,64.43,8.05546,10.0
EWR,2013,1,17,1400,42.08,28.94,59.36,6.90468,10.0
EWR,2013,1,17,1500,42.08,28.04,57.22,12.65858,10.0
EWR,2013,1,17,1600,42.98,26.96,52.87,11.5078,10.0
EWR,2013,1,17,1700,46.04,26.96,47.05,12.65858,10.0
EWR,2013,1,17,1800,44.06,26.06,48.87,11.5078,10.0
EWR,2013,1,17,1900,42.98,24.98,48.7,12.65858,10.0
EWR,2013,1,17,2000,42.98,24.98,48.7,8.05546,10.0
